NOMBRE;DISTRITO;CORREO;RESPONSABLE;TELEFONO
Asociacion de Vecinos de El Cedral ;San Pedro;iguerri@hotmail.com;Ivannia Guerrero ;8998-9809
Asociacion de Vecinos de El Cedral ;San Pedro;mongemon@racsa.co.cr;Alexandra Montero;8836-9350
Asociacion de Vecinos de El Cedral ;San Pedro;artaborda@hotmail.com;"Alfonso Rivera Taborda  

";8330-7684      2224 6418
Asoc. Desarrollo Collados;San Pedro;anita2855g@gmail.com;Ana Lucia Gonzalez ;8362-3448
Asoc. Desarrollo Collados;San Pedro;ateranorlich@gmail.com;Andrea Teran Orlich;
Asociacion de Desarrollo Integral Monterrey - Vargas Araya;San Pedro;adela_barrantes@hotmail.com, ampa121@hotmail.com;Adela Barrantes;
Asociacion de Desarrollo Especifica pro de Extension cultural de Barrio Calle Siles;San Pedro;flormonroec@gmail.com;Francisco Javier Gonzalez Mora;2225-9769/  2225-7470
Asociacion de Desarrollo Especifica pro Mantenimiento del Parque y Seguridad Comunitaria del Residencial El Retiro;San Pedro;esteban@aratajimenez.com;Esteban Arata;
Asociacion de Vecinos de Los Yoses ASOYOSES;San Pedro;info@vecinoslosyoses.com / hneurohr@techossct.com;Ing. Hans Neurohr Bustamante;85182266/22810831
Asociacion de Vecinos El Cedral No 2;San Pedro;anatorres49@hotmail.com;Ana Torres;
Asociacion de Vecinos de Barrio Pinto;San Pedro;randallmcallister1@gmail.com;;
Asociacion de Vecinos de Barrio Pinto;San Pedro;elizjim22@hotmail.com;Elizabeth Jimenez Salas;
Asociacion (ASUMA) de Barrio San Gerardo en Barrio Pinto;San Pedro;asumahcr@gmail.com;Ana Ortega;2280-26-71 
Asociacion de Vecinos Calle Quiros;San Pedro;gretya@gmail.com asocallequiros@gmail.com;;
Asociacion de Vecinos Calle Quiros;San Pedro;elenasand@gmail.com;Maria Elena Sandoval Solano;
Comite Bo Roosevelt;San Pedro;lisarayar@gmail.com;Liseth Araya ;8382-4383
Asociacion Administrativa Polideportivo Regio-Montano;San Pedro;;;2253-0507 (Manuel Castro)
Asociacion Unidos por un Mejor Ambiente Humano;San Pedro;mayi.1456@hotmail.com;Fressia Gomez Fuentes;8604-4719/ 2225-4636
Comite de Vecinos de Barrio Dent;San Pedro;samariacalderon@gmail.com;Samaria Calderon Montero;83932871
Urbanizacion Barrio Roosevelt;San Pedro;fedgamboa@gmail.com;Federico Gamboa Asch;8381-4655
Comite de Vecinos Parque La Pradera  ;San Pedro;;Adrian Gonzalez Chacon ;70026720
Asociacion de Vecinos de Barrio Gonzalez  Flores;San Pedro;cargarro@hotmail.com;Ricardo Alonso Garita Badilla ;
ADEHMMO;Mercedes;joselmeneses@gmail.com;Jose Meneses R.;2225-2607
Urb. Buenos Aires;Mercedes;cechavescl96l@hotmail.com;Eduardo Chavez;8380-5301
Comite de Vecinos de Alma Mater, Calle C.  ;Mercedes; mrojasm1010@gmail.com;Eugenia Rojas Morera                            ;
Comite de Vecinos de Alma Mater, Calle C.  ;Mercedes;tercero_luis@yahoo.com;;
ADIMMO;Mercedes;lillym2712@gmail.com;Ileana Madrigal ;8938-9620
Comite Vecinal de Urbanizacion Buenos Aires;Mercedes;haome31@hotmail.com;Natalia Leon Arce;8876-7270
ADI Cedros (SCOUTS);Sabanilla;josevc160@hotmail.com;Jose Vargas C.;8674-7059
ADI Cedros ;Sabanilla;willysa89@gmial.com;Willy Solano ;8875-0316
AMO Cultural ;Sabanilla;inesamadorblanco@gmail.com;Ines Amador Blanco;8328-2930
Asoc. Pro Residencial Ana Maria Guardia;Sabanilla;pwang@asamblea.go.cr; Patrick A. Wang Munoz;8832-7557
Asoc. Des. San Marino;Sabanilla;saloncomunal70@gmail.com;Juan Aguilar Portilla ;8890-2887
Asoc. Des. San Marino;Sabanilla;bettyvargasfonseca@gmail.com ;Betty Vargas;
 Asociacion de Desarrollo Integral de Residencial Malaga ;Sabanilla;jose.1130@hotmail.com;Jose Marin Morales;
 Asociacion de Desarrollo Integral de Residencial Malaga ;Sabanilla;unidospor malaga@gmail.com   ;Vivian Icaza M  ;8324-7912 
Asociacion de Desarrollo Especifica Pro CEN CINAI y bienestar comunal de Sabanilla de Montes de Oca;Sabanilla;rojasfonseca@racsa.co.cr;;
Comite de Vecinos de Residencial  Los Rosales  ;Sabanilla;manaale80@hotmail.com;Alejandra Manavella;8319-9740
Asociacion de Vecinos de la Urbanizacion Paso Real II de Sabanilla;Sabanilla;lsauma@icorpcr.com;Laura Sauma Solano;
Comite Solidario Residencial Emmanuel;Sabanilla;residencialenmanuel@gmail.com;Karla Lopez Achio;
Comite Cedros 1;Sabanilla;alvarocorderochavarria2@gmail.com;Alvaro Cordero Chavarria ;8319-8376
Comite de Vecinos de Residencial Las Arboledas;Sabanilla;;Alvaro Fernandez Gonzalez;8827-4036
Asociacion de Vecinos de Residencial La Alhambra;Sabanilla;;Raquel Danisha Palma Abarca;
Asociacion de Desarrollo Especifica Pro Mejoras de la Urb. Mansiones;San Rafael;marcelasanchezcortes@yahoo.com;Marcela Sanchez;
Asociacion de Desarrollo Especifica para el Ambiente, Ornato y Seguridad del Residencial Sol del Este;San Rafael;mvargaschacon@gmail.com;Marcela Vargas;8319-1382 / 2273-6047
Asociacion de Desarrollo Especifica para la Vivienda Santisima Trinidad;San Rafael;betzy.rodvin@hotmail.com;;
